name,smiles,family,MW,LogP,TPSA,RotBonds,Lilial_Similarity,Aromatic_Rings,Has_Aldehyde,Status,Score
Cyclohexyl-propyl-ketone,CC(C)C(=O)CCC1CCCCC1,Cyclohexyl,182.31,3.57,17.07,4,0.098,0,0,OK,0.5462
Cyclohexyl-butyl-ketone,CCCC(=O)CCC1CCCCC1,Cyclohexyl,182.31,3.72,17.07,5,0.098,0,0,OK,0.5402
Hydrogenated-tetralin-propyl-ketone,CC(C)C(=O)CCC1CCCc2ccccc2C1,Decalin,244.38,4.19,17.07,4,0.118,1,0,OK,0.5314
Norbornyl-isobutyl-ketone,CC(C)CC(=O)CCC1C2CCC1C2,Norbornane,194.32,3.43,17.07,5,0.068,0,0,OK,0.5312
Cyclohexyl-propyl-alcohol,CC(C)C(O)CCC1CCCCC1,Cyclohexyl,184.32,3.36,20.23,4,0.073,0,0,OK,0.5308999999999999
Cyclohexyl-propyl-ether,CC(C)COCCC1CCCCC1,Cyclohexyl,184.32,3.63,9.23,5,0.071,0,0,OK,0.5303
Cyclohexyl-isobutyl-ketone,CC(C)CC(=O)CCC1CCCCC1,Cyclohexyl,196.33,3.96,17.07,5,0.093,0,0,OK,0.5281
Adamantyl-propyl-ketone,CC(C)C(=O)CCC12C3CC(C1)CC(C3)C2,Adamantane,220.36,3.82,17.07,4,0.064,0,0,OK,0.5192
Adamantyl-propyl-alcohol,CC(C)C(O)CCC12C3CC(C1)CC(C3)C2,Adamantane,222.37,3.61,20.23,4,0.043,0,0,OK,0.5171
Norbornyl-propyl-ketone,CC(C)C(=O)CCC1C2CCC1C2,Norbornane,180.29,3.04,17.07,4,0.071,0,0,OK,0.5171
Adamantyl-butyl-ketone,CCCC(=O)CCC12C3CC(C1)CC(C3)C2,Adamantane,220.36,3.96,17.07,5,0.064,0,0,OK,0.5136
Adamantyl-propyl-ether,CC(C)COCCC12C3CC(C1)CC(C3)C2,Adamantane,222.37,3.88,9.23,5,0.042,0,0,OK,0.5058
Adamantyl-isobutyl-ketone,CC(C)CC(=O)CCC12C3CC(C1)CC(C3)C2,Adamantane,234.38,4.21,17.07,5,0.061,0,0,OK,0.5021
Norbornyl-propyl-alcohol,CC(C)C(O)CCC1C2CCC1C2,Norbornane,182.31,2.83,20.23,4,0.048,0,0,OK,0.49720000000000003
Cyclohexyl-propyl-oxime-ether,CC(C)C(=NOCC)CCC1CCCCC1,Oxime,225.38,4.4,21.59,6,0.061,0,0,OK,0.49450000000000005
Decalin-propyl-ketone,CC(C)C(=O)CCC1CCC2CCCCC2C1,Decalin,236.4,4.6,17.07,4,0.062,0,0,OK,0.487
Decalin-propyl-alcohol,CC(C)C(O)CCC1CCC2CCCCC2C1,Decalin,238.41,4.39,20.23,4,0.042,0,0,OK,0.48540000000000005
Decalin-propyl-ether,CC(C)COCCC1CCC2CCCCC2C1,Decalin,238.41,4.66,9.23,5,0.041,0,0,OK,0.4741
Adamantyl-propyl-oxime-ether,CC(C)C(=NOCC)CCC12C3CC(C1)CC(C3)C2,Oxime,263.42,4.64,21.59,6,0.036,0,0,OK,0.47240000000000004
Decalin-isobutyl-ketone,CC(C)CC(=O)CCC1CCC2CCCCC2C1,Decalin,250.43,4.99,17.07,5,0.06,0,0,OK,0.47039999999999993
